titolo_italiano,titolo_inglese,sessione_di_apprendimento,gruppo,insegnante_proposto,area_di_apprendimento,crediti,min_studenti,max_studenti,contesto_specifico,contesto_personale
Trame di celluloide,Celluloid Plots,2,1,Magnani_Mila,,,,,"1_BIO,1_ODO,1_TUR4",
Inchiostri dell’anima,Inks of Soul,2,2,Magnani_Mila,,,,,"1_BIO,1_ODO,1_TUR4",
Gli animali e noi / Gli animali intorno a noi. L'essere umano: un animale tra gli animali,Animals and Us / Animals Around Us. Human being: an animal among animals,2,1,Arcidiacono_Italo Lucio,,,,,"1_BIO,1_ODO,1_TUR4",
Esistono due tipi di bugie: le bugie e le statistiche,There are two kinds of lies: lies and statistics,2,1,Grasso_Mario,,,,,"1_BIO,1_ODO,1_TUR4",
Prova,,,,Bella_Erika,SM,4,15,25,"1_BIO,2_BIO","4_ATS,3_BIO"
